compound index,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10
compound 1,0.348312022821229,0.0630167653606814,0.511742034960464,0.661326906264506,0.619111570773783,0.935071579320989,0.728932195262421,0.701815738164814,0.569288492856941,0.501279735769698
compound 2,0.191400639846288,0.719100595525387,0.970249191552113,0.255566794132965,0.505630014803651,0.735667602947838,0.574708000056734,0.908344517055079,0.250436273598555,0.793251189354292
compound 3,0.296929131026517,0.270151369028279,0.156675265211668,0.817318562833695,0.48718119316068,0.448550766133808,0.241097265000925,0.56110771662634,0.603456241244241,0.57053380721263
compound 4,0.191433950891087,0.327505631247616,0.388289502353379,0.0901345847537013,0.0963235234292864,0.344237495545582,0.201460714026264,0.395331512421016,0.660105586312287,0.556123172373158
compound 5,0.125607080287442,0.0496472091120613,0.23454636324801,0.499034080390197,0.566482891571686,0.0116626321103131,0.263572246440307,0.074740171267619,0.991576567601925,0.580243307381816
compound 6,0.571483408094397,0.593928142802501,0.341222847607387,0.692720689307836,0.735997218603451,0.534024484958564,0.79224339251373,0.229554255391935,0.351744436197767,0.651823130292462
compound 7,0.327218959131041,0.0722660698269555,0.367973988633934,0.622506748737854,0.202665960241655,0.743525026019978,0.759978654569165,0.283556078420122,0.172521558782434,0.211632589258268
compound 8,0.197250178960143,0.921185285042197,0.272492520487969,1.16335483572659,0.790416391205044,0.301625417190078,0.619994323763655,0.424142106805893,0.479195352475611,0.105020962153032
compound 9,0.684005748600198,0.456198997558624,0.421578259732647,0.162064713005043,0.657493254786701,0.753860582810553,0.931311057999945,0.156620144222445,0.597603804424811,0.206566812847344
compound 10,0.409618000786406,0.866877262037611,0.931849906535794,0.63692363611294,0.817234176797826,0.537515545461497,0.265250686477379,0.707122869989822,0.681070350684415,0.346298010016294
compound 11,0.52014064630039,0.231271446999328,0.94257268625072,0.341934064940968,0.45532861421087,0.138420910067756,0.0833116924327991,0.989469441263587,0.232911717127957,0.408606892237929
compound 12,0.282216662321261,0.0836046090005806,0.349646613053355,0.320537255367848,0.375029021505073,0.517401945602992,0.855370349957198,0.810637967928406,0.251667062164601,0.741505383196749
compound 13,0.860116493671496,0.773947242315538,0.537332217109462,0.164188577387203,0.306551260961453,0.537284675505973,0.879449273487984,0.602503468878746,0.836216369901743,0.335248725479814
compound 14,0.74240755439192,0.722632251658505,0.700187651469748,0.536434406399914,0.581855600755925,0.981980406203535,0.456604069887535,0.455342138670645,0.0198325007968021,0.60661482450965
compound 15,0.347179997303606,0.381160545001573,0.615675360103962,0.140405326540844,0.768052794082676,0.90429970513401,0.254169980671146,0.340521375299156,0.190199048217496,0.677248970630987
compound 16,0.764595083692445,0.533241234064542,0.0285314785059184,0.799411937243361,0.107062707146639,0.4720752217721,0.706348664891668,0.155972635211788,0.866178378983028,0.743014925407368
compound 17,0.494334389293705,0.675390942311694,0.501456786902229,0.510347234519086,0.380038037209664,0.467775133637199,0.533581472682747,0.96820632249211,1.04273435565619,0.463070375764288
compound 18,0.610543457855394,0.296972230629057,0.576974365089027,0.457589842916427,0.440439158480765,0.124332471651986,0.134731014247681,0.120248552464512,0.0163613918434311,0.605449958962025
compound 19,0.905363465971744,0.894885027597476,0.491942505138367,0.457964588540444,0.717268856153648,0.170632175911651,0.161579525779021,0.634480360454695,0.743701362517945,0.406253253207331
compound 20,0.866629577853294,0.803803591979796,0.395846905153848,0.407021663978583,0.126624203219524,0.0768426711136003,0.293091868951698,0.217069076071272,0.179985597711819,0.227000423044865
