compound index	knownORunknown	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
meta1	known	0.816805182	0.616958208	0.815375672	0.696073486	0.640882654	0.001030921	0.740980558	0.199307054	0.47999039	0.186939401	0.138261531	0.064661542	0.944045309	0.593541777	0.076899962	0.237587641	0.786997627	0.782270504	0.630459585	0.152453975
meta2	known	0.427435138	0.543477986	0.51253826	0.59480372	0.921151378	0.29293214	0.057036835	0.426830566	0.598625548	0.691173334	0.204933723	0.161558304	0.589122901	0.61899504	0.786822092	0.380775435	0.460513813	0.773767214	0.696658351	0.464713231
meta3	known	0.758076246	0.943150305	0.520574566	0.533549236	0.539757518	0.114734517	0.030879077	0.64733299	0.035686245	0.796361442	0.021307782	0.074644889	0.389071381	0.232514631	0.659315179	0.832506169	0.567039476	0.152790812	0.886922941	0.559492912
meta4	known	0.253880598	0.67264775	0.743125204	0.440106431	0.533747241	0.576463464	0.832206495	0.274048303	0.058530942	0.081993841	0.666869245	0.578992735	0.744153258	0.635207721	0.714785149	0.419901693	0.76498309	0.163155622	0.964951997	0.31002854
meta5	known	0.47533593	0.226832312	0.839892682	0.25480605	0.481386541	0.405637666	0.538883748	0.836853528	0.278370699	0.215602366	0.803376654	0.114941132	0.246775045	0.761254599	0.530429891	0.025783977	0.090373957	0.983820374	0.237632184	0.241081084
meta6	known	0.579245609	0.217289008	0.694226767	0.93263103	0.717086792	0.365348137	0.834156424	0.066771843	0.811409395	0.178849786	0.606585143	0.675614187	0.529788339	0.539645651	0.723368228	0.591068635	0.644925767	0.270762712	0.590323721	0.222086379
meta7	known	0.873524467	0.243638222	0.548751844	0.685843877	0.989150944	0.855164522	0.96462093	0.989989959	0.058577997	0.346529517	0.423708523	0.574232939	0.454288053	0.82434667	0.263942921	0.828769705	0.38728374	0.947293544	0.413100064	0.481395933
meta8	known	0.528436712	0.263607747	0.736956863	0.842580958	0.948448348	0.30125734	0.68808478	0.269889283	0.155586579	0.186789767	0.955945482	0.975402047	0.105928764	0.421476994	0.00550121	0.228849176	0.772988005	0.059686646	0.865430721	0.4663851
meta9	known	0.724928982	0.567785052	0.077754705	0.953235954	0.24496325	0.431803506	0.223839557	0.948412266	0.370040863	0.720724098	0.559889631	0.693771208	0.070308334	0.734812613	0.358794057	0.376102701	0.620624105	0.470955119	0.738756774	0.827849019
meta10	known	0.848875113	0.123811686	0.430614634	0.268726285	0.937766687	0.886359213	0.862969861	0.05493997	0.450646738	0.789553194	0.023947336	0.60334198	0.892837953	0.740528499	0.329700547	0.458217247	0.31251566	0.63371626	0.868500053	0.894445346
meta11	known	0.547687347	0.789553505	0.625329254	0.426642755	0.360506698	0.461397785	0.066210557	0.079556999	0.19160661	0.65525757	0.315969728	0.705522307	0.314012442	0.204942465	0.183144883	0.689625955	0.610657008	0.963801156	0.949846061	0.005742821
meta12	known	0.459061114	0.494286351	0.247986783	0.870975448	0.005671754	0.879015216	0.848517779	0.621322877	0.7640852	0.253570215	0.738515249	0.024746819	0.946392571	0.678369448	0.620678921	0.720772056	0.404133441	0.344794932	0.949195568	0.880767894
meta13	known	0.286158181	0.558512613	0.665123153	0.435950056	0.404366546	0.8768524	0.064051631	0.530391984	0.806604968	0.885214139	0.215223934	0.164865469	0.991619755	0.279885346	0.153085386	0.817121082	0.29671445	0.365063637	0.364120336	0.502850724
meta14	known	0.755601394	0.544996581	0.615381535	0.672774854	0.861483095	0.746363287	0.51055906	0.595406568	0.288207367	0.999151495	0.315788531	0.743723613	0.497004223	0.773752656	0.343877628	0.941042503	0.019450783	0.246207787	0.205786148	0.056867459
meta15	known	0.977861105	0.925959018	0.323598882	0.086453363	0.357822189	0.445264957	0.321960281	0.014894944	0.555267976	0.518160936	0.941186855	0.188436163	0.01420496	0.734838867	0.369796044	0.970105684	0.703601761	0.002523723	0.789526003	0.381693806
meta16	known	0.382698905	0.545782052	0.731469832	0.47412764	0.870669811	0.557517724	0.617985424	0.428097952	0.865257193	0.166597191	0.455973425	0.276577688	0.786330162	0.395965764	0.021269801	0.141359156	0.576967043	0.023324502	0.998510124	0.740937935
meta17	unknown	0.371490169	0.006678829	0.879898148	0.703139358	0.248968446	0.441720587	0.593432712	0.731226125	0.865724506	0.200950369	0.11931901	0.877565209	0.429274264	0.503382335	0.131604311	0.266085741	0.843541743	0.173636186	0.78812173	0.770226861
meta18	unknown	0.732327366	0.932374219	0.388299087	0.282952685	0.822158254	0.088374458	0.293196352	0.61063002	0.904623248	0.750186746	0.562245937	0.122523133	0.576018192	0.814119941	0.783624326	0.726014607	0.89721228	0.252252423	0.97293749	0.676233209
meta19	unknown	0.700909425	0.705695642	0.004800077	0.047896493	0.729579906	0.482196704	0.813121785	0.951455527	0.523158185	0.188064002	0.74126124	0.581565788	0.814831921	0.303900256	0.138392751	0.303124964	0.372572197	0.309245361	0.905805122	0.919542932
meta20	unknown	0.840870259	0.573685549	0.844887321	0.991863614	0.068011742	0.559735338	0.552077113	0.562243151	0.021281649	0.351920717	0.439186873	0.726184308	0.447051657	0.512791915	0.230507598	0.377335276	0.71722459	0.301729755	0.402572041	0.236072995
meta21	unknown	0.157714838	0.124434442	0.573105809	0.111744142	0.777296082	0.193152326	0.3798655	0.379151894	0.035735858	0.455500713	0.283712786	0.096221111	0.655130029	0.095502583	0.600438623	0.179867247	0.911449162	0.656534357	0.914637942	0.372060956
meta22	unknown	0.178492233	0.94631118	0.22325893	0.705294495	0.697896391	0.450953014	0.117890899	0.716618757	0.209203142	0.559940565	0.842857371	0.587533963	0.5117748	0.384291994	0.119023993	0.078959526	0.913872277	0.115281769	0.379109625	0.088396421
meta23	unknown	0.776472723	0.39990257	0.142254645	0.790748097	0.692390933	0.328355976	0.555662675	0.435547117	0.501539165	0.488591996	0.8224695	0.786935485	0.646327312	0.801058486	0.314013923	0.355383448	0.106596594	0.130570882	0.796335706	0.383631338
