		index	1	2	3	13	14	15	24	25	35	36	37	46	47	48	57	58	59	68	69	70	79	80	81	90	91	92	101	102	103	112	113	114	124	125	126	336	337	338	348	349	350	359	360	370	371	372	381	382	383	392	393	394	403	404	405	414	415	416	425	426	427	436	437	438	447	448	449	459	460	461	470	471	472	481	482	483	492	493	494	503	504	505	514	515	516	525	526	527	535	536	537	546	547	548
		injectionOrder	1	2	3	13	14	15	24	25	35	36	37	46	47	48	57	58	59	68	69	70	79	80	81	90	91	92	101	102	103	112	113	114	124	125	126	336	337	338	348	349	350	359	360	370	371	372	381	382	383	392	393	394	403	404	405	414	415	416	425	426	427	436	437	438	447	448	449	459	460	461	470	471	472	481	482	483	492	493	494	503	504	505	514	515	516	525	526	527	535	536	537	546	547	548
		QC	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
		batch	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
		PCA_color	QC	A	A	QC	A	A	QC	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	A	A	QC	B	B	QC	B	B	QC	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B	QC	B	B
		Normality_factor	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor1	factor32	factor31	factor30	factor29	factor28	factor27	factor26	factor25	factor24	factor23	factor22	factor21	factor20	factor19	factor18	factor17	factor16	factor15	factor14	factor13	factor12	factor11	factor10	factor9	factor8	factor7	factor6	factor5	factor4	factor3	factor2	factor1	factor0	factor1	factor2
		RSD	TRUE	NIST	Sample	TRUE	Sample	Sample	TRUE	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	NIST	Sample	TRUE	Sample	Sample	TRUE	NIST	Sample	TRUE	Sample	Sample	TRUE	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	NIST	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample	TRUE	Sample	Sample
No	Known/Unknown	Annotation	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height	Height
1	Known	Cer (d32:1) [M+HCOO]-	301	440.5	339	305	484	482	327	735	366	500	370	332	622	659	385	581	791	327	503	756	216	718	387	269	715	378	408	435	318	321	395	403	208	583	583	336	304	683	449	515	694	447	604	407	608	620	485	927	530	548	405	699	533	781	436	422	464	710	435	439	660	427	673	612	461	608	519	436	503	280	484	654	588	442	1669	214	525	567	844	630	381	320	517	397	738	442	542	533	414	536	455	375	524	792
2	Known	Cer (d34:0) [M+HCOO]-	432	515.5	331	484	588	269	500	748	424	548	479	483	501	528	556	443	700	530	492	689	481	647	593	492	992	752	565	566	429	407	556	452	709	619	513	592	521	485	461	614	464	558	691	521	515	1345	577	682	392	473	462	764	532	982	577	578	662	669	569	482	517	559	685	761	720	592	765	685	476	455	558	642	669	512	1890	461	553	642	630	780	682	455	651	526	1292	689	581	728	596	387	595	680	683	1054
3	Known	Cer (d34:1) [M+HCOO]- 	2740	3556.5	3056	3027	3778	2988	3366	5601	2991	4907	3018	2997	4269	4497	3190	3816	5841	3317	3884	5796	3261	6184	4919	3464	5640	4559	3301	5051	3145	3220	4028	4223	3051	5543	4807	3046	4219	4887	3287	4451	5557	3558	6679	3868	6475	7197	3743	7039	4674	3778	5707	7528	3480	7476	6438	3658	5608	6312	3840	5136	5573	4077	6213	6846	3100	5269	7007	3617	3884	4487	3377	6475	6388	4100	20203	4843	4007	5264	7787	5855	5054	3952	4020	5475	6895	4159	5842	5840	4296	4808	5489	4466	5332	7143
4	Known	Cer (d34:2) [M+HCOO]-	363	459	423	341	460	464	289	829	334	563	236	449	458	538	445	693	690	370	570	813	269	629	583	415	617	408	366	556	432	375	544	558	391	664	674	251	444	557	293	331	573	269	580	369	578	641	307	694	623	407	532	738	346	737	548	311	428	719	307	516	721	370	562	622	368	438	620	326	323	357	253	792	455	343	776	463	228	389	728	381	448	366	403	588	641	449	539	426	362	501	477	428	506	603
5	Known	Cer (d36:1) [M+HCOO]-	843	1321	1177	922	1154	1348	1085	2118	1000	1939	1481	990	1387	1975	1123	1451	2805	1038	1382	2446	1068	3141	1197	1099	2367	1260	1095	1787	1444	972	1472	1745	1099	2167	1558	1271	1393	2494	1231	2542	2176	1420	2021	1137	2783	3488	1315	3580	2325	1455	2516	4183	1171	3338	2366	1352	2129	3403	1463	2483	3017	1301	2204	1997	1433	1763	3135	1270	1632	2223	1189	2535	2534	1403	4388	1437	1545	2780	3372	1726	1928	1841	1483	1846	3283	1401	2191	2876	1310	2008	1886	1499	2547	3298
6	Known	Cer (d38:1) [M+HCOO]-	875	1106	943	808	942	1282	1022	2920	837	1676	1649	945	1288	2275	927	1306	2159	959	1347	2356	938	2351	1221	903	1808	1551	1092	1764	1113	860	1473	2199	1006	1555	1507	884	1098	1999	934	1195	1585	900	2137	1037	2094	2285	1046	4010	2100	1148	1529	2895	822	2196	1217	1175	1512	2117	922	1628	1794	972	1784	1672	883	1652	2335	1129	1203	1164	912	2254	1964	1039	3406	855	1126	1854	4277	1207	1852	1494	985	1615	3228	1076	1319	1356	1018	1519	1604	1064	1716	2975
7	Known	Cer (d39:1) [M+HCOO]-	665	707	629	542	708	1006	689	1689	611	1042	1499	536	910	1643	635	934	1385	552	883	1613	706	1471	1061	726	1266	1011	642	1332	616	568	717	1246	756	1061	1152	500	573	1025	503	689	788	469	1271	535	967	1006	526	2837	1215	556	771	1083	548	1215	721	588	930	917	657	864	979	565	1015	653	541	1021	1215	567	904	755	574	1261	911	593	1591	441	521	1301	2359	798	898	696	511	778	2106	602	910	694	630	1021	799	688	843	1438
8	Known	Cer (d40:1) [M+HCOO]-	4349	5950.5	3769	4536	3853	5371	4931	10694	5630	8122	9667	5124	5084	9076	5282	5638	8764	5040	7218	10142	5373	12478	7701	5612	9049	6650	5549	8809	3688	4759	6946	8323	5255	5514	9575	4125	5672	8488	4270	5253	5551	4680	9955	4643	9969	8324	4726	18850	8564	4501	7080	8114	4743	10624	4977	5081	7341	6768	5269	5954	6154	5407	6476	4738	4575	8178	10411	4997	4590	5373	5029	8211	8830	4997	9863	3357	4873	7351	22186	7261	6107	4916	4963	8381	15574	5536	7023	5409	5618	6342	7568	5994	7984	10904
9	Known	Cer (d40:2) [M+HCOO]-	679	1279.5	339	882	668	1597	761	3040	995	2005	1571	1072	972	1950	928	1861	1832	984	1408	2313	1147	2839	1711	1111	2024	1433	1039	2151	973	876	1382	1642	892	1424	2483	780	875	2210	934	1239	1457	938	2682	901	2339	1978	1112	4831	2234	660	1822	1719	892	2420	1146	1047	1550	1612	1149	1678	1673	1189	1621	1166	850	1691	2938	1015	1354	1547	965	1978	1562	1150	1661	766	1063	1651	5383	1083	1314	1165	1195	2274	3048	890	1688	1231	1026	1462	1705	1122	1671	2463
10	Known	Cer (d41:1) [M+HCOO]-	4187	5079.5	3639	4425	4404	5404	4773	9525	4380	7870	7541	4605	5144	9091	4824	6640	7363	5065	5440	10879	4831	10227	6503	4508	10504	7401	4943	7525	2729	4394	6151	7032	4470	6737	9982	3507	4303	7581	3956	5404	5718	4090	7890	4234	6044	6726	4755	16140	5734	3904	6373	6598	4108	9260	5882	4375	5697	6326	4565	5718	5243	4438	6376	3953	4165	6941	9392	4886	5450	5433	4537	6917	7412	4275	8263	2388	4766	7101	14351	6204	5668	4408	5661	7872	15305	5615	6799	5516	5872	5427	6259	5961	7320	9880
