LipidName	SMILES	FoldChange	Pvalue
Acylcarnitine (C10:1) 	C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C	3.092356157	0.002116593
Acylcarnitine (C14:2) 	CCCCCCCC/C=C/C=C/CC(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C	3.713861295	0.000231333
Acylcarnitine (C8:0) 	CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	2.531053986	0.011731746
Acylcarnitine (C8:1) 	CCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C	0.762963922	0.445908186
Acylcarnitine C10:0 	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	3.065617446	0.002310759
Acylcarnitine C12:0 	CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	3.268122361	0.001170559
Acylcarnitine C16:0 	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.080120255	0.936179327
Acylcarnitine C18:0 	CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0.734581289	0.46299964
Acylcarnitine C18:1 	CCCCCC/C=C/CCCCCCCCCC(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C	1.141894424	0.254140844
Acylcarnitine C18:2 	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	0.920714023	0.357722066
CE (16:1) 	CCCCCC/C=C\CCCCCCCC(=O)OC1CC[C@@]2(C3CC[C@@]4([C@H](CCC4C3CC=C2C1)[C@H](C)CCCC(C)C)C)C	1.694234244	0.55534536
CE (18:1) 	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	3.607647328	0.78176979
CE (18:2) 	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	0.699255784	0.484774702
CE (18:3) 	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	0.788262221	0.205273395
CE (20:3) 	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C	0.75511319	0.186113576
CE (20:4) 	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	1.65122221	0.545095693
CE (20:5) 	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C	0.27770234	0.000354456
CE (22:6) 	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C	0.477570271	0.036857868
Ceramide (d18:1/23:0) 	CCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	0.632544033	0.527371603
Ceramide (d32:1) 	CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCCCCCCCC)O	0.130295603	0.896394206
Ceramide (d33:1) 	CCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCC)O	1.568624454	0.117479672
Ceramide (d34:0) 	CCCCCCCCCCCCCCC[C@H]([C@H](CO)NC(=O)CCCCCCCCCCCCCCC)O	0.359481688	0.719413319
Ceramide (d34:1) 	CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	1.527314357	0.127426718
Ceramide (d34:2) 	CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCC/C=C\CCC)O	1.218664387	0.223647616
Ceramide (d36:1) 	CCCCCCCCCCCCCCC[C@H]([C@H](CO)NC(=O)CCCCCCC/C=C\CCCCCCCC)O	2.469947846	0.013905055
Ceramide (d38:1) 	CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	1.4375531	0.15129674
Ceramide (d39:1) 	CCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCC)O	0.601386646	0.547903123
Ceramide (d40:0) 	CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O	0.525569759	0.05775566
Ceramide (d40:1) 	CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	0.509928146	0.610366503
Ceramide (d40:2) 	CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCC/C=C\CCC)O	1.829434495	0.068034972
Ceramide (d41:1) 	CCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	0.520610671	0.602909124
Ceramide (d42:0) 	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O	0.391852257	0.01106014
Ceramide (d42:1) 	CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	1.46976319	0.496633266
Ceramide (d42:2) 	CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)O	1.707261361	0.558365587
