time	0h	0h	0h	4h	4h	4h	12h	12h	12h	12h	24h	24h	24h
label	RT 0HR 1_001	RT 0HR 2_002	RT 0HR 3_003	RT 4HR 1_010	RT 4HR 2_011	RT 4HR 3_012	RT 12 HR 1_018	RT 12 HR 2_019	RT 12 HR 3_020	RT 12 HR 4_021	RT 24 HR 3_029	RT 24 HR 4_030	RT 24HR 1_027
zymosterol	0.632139732	0.326975337	0.040717891	0.688903341	0.367980053	0.084134718	0.12478502	0.014366385	0.811110768	0.867202705	0.812983863	0.662493467	0.358500053
xylulose NIST	0.511006873	0.187031303	0.586462352	0.1232269	0.039786148	0.001517846	0.600834993	0.390477672	0.782473605	0.929735708	0.57331789	0.417607079	0.224098449
xylose	0.034944708	0.896467583	0.428778568	0.696141067	0.723637129	0.090126067	0.385733949	0.033115413	0.204362705	0.044334545	0.243652106	0.862976135	0.135380756
xylonic acid isomer	0.143743545	0.347373865	0.132351889	0.505020064	0.029678635	0.984198745	0.279365061	0.893116465	0.10035551	0.568851434	0.638548096	0.312908276	0.092412091
xylitol	0.047894651	0.536016536	0.149225286	0.345798342	0.460898822	0.493633602	0.140915606	0.655186118	0.792365782	0.376497383	0.783792887	0.213404008	0.437658067
valine	0.60849914	0.332668658	0.894298053	0.729762287	0.769032642	0.295390805	0.711918173	0.677423564	0.732251336	0.678427104	0.047231324	0.670412104	0.065912016
uric acid	0.522008882	0.117785743	0.847730047	0.615861221	0.79542817	0.384396941	0.038360409	0.981562692	0.767606178	0.418461113	0.999895073	0.236736427	0.545057004
urea	0.666523952	0.703407046	0.612694848	0.946998568	0.819089541	0.542348459	0.274718999	0.146446204	0.602764745	0.149466119	0.208841328	0.338541357	0.491215163
uracil	0.912839685	0.8878464	0.559461918	0.002253139	0.855789419	0.686784663	0.66244653	0.803527763	0.033463103	0.873342878	0.678829533	0.932492904	0.946278319
UDP-glucuronic acid	0.838042199	0.336400392	0.172293311	0.42878618	0.563580317	0.353332765	0.918485691	0.407380568	0.523760538	0.53103557	0.391359429	0.460867272	0.52953024
