BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
zymosterol	1088064	129	110304	92746	C05437	CGSJXLIKVBJVRY-XTGBIJOFSA-N	Known	1
xylose	544100	103	114791	135191	C00181	SRBFZHDQGSBBOR-IOVATXLUSA-N	Known	1
xylitol	567437	217	5857	6912	C00379	HEBKCHPVOIAQTA-NGQZWQHPSA-N	Known	1
uric acid	730691	441	23	1175	C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N	Known	1
uracil	385816	241	3023	1174	C00106	ISAKRJDGNUQOIC-UHFFFAOYSA-N	Known	1
tyrosine	671252	218	16	6057	C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	Known	1
trans-4-hydroxyproline	484934	140	97	5810	C01157	PMMYEEVYMWASQN-DMTCNVIQSA-N	Known	1
thymine	420133	255	1692	1135	C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N	Known	2
threonine	408777	218	171298	6288	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N	Known	1
taurine	556690	326	411	1123	C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N	Known	1
sucrose	915139	271	173	5988	C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N	Known	1
stearic acid	787622	117	13	5281	C01530	QIQXTHQIDYTFRH-UHFFFAOYSA-N	Known	1
serine	395020	218	25	5951	C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N	Known	1
saccharic acid	699211	333	11214	33037	C00818	DSLZVSRJTYRBFB-LLEIAEIESA-N	Known	1
ribonic acid	599680	292	1683	5460677	C01685	QXKAIJAYHKCRRA-BXXZVTAOSA-N	Known	1
pyruvic acid	211668	174	583	1060	C00022	LCTONWCANYUPML-UHFFFAOYSA-N	Known	1
putrescine	588119	174	21703	1045	C00138	KIDHWZJUCRJVML-UHFFFAOYSA-N	Known	1
pseudo uridine	813899	217	1688	15047	C02067	PTJWIQPHWPFNBW-GBNDHIKLSA-N	Known	1
proline	364523	142	171970	145742	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N	Known	1
pinitol	622466	260	16544	164619	C03844	DSCFFEYYQKSRSV-FEPQRWDDSA-N	Known	1
phosphate	361492	314	34005	1004	C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N	Known	1
phenylalanine	537804	218	33	6140	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	Known	1
phenaceturic acid	654351	91	104452	68144	C05598	UTYVDVLMYQPLQB-UHFFFAOYSA-N	Known	1
pelargonic acid	399229	117	50	8158	C01601	FBUKVWPVBMHYJY-UHFFFAOYSA-N	Known	1
palmitoleic acid	708023	311	183359	445638	C08362	SECPZKHBENQXJG-FPLPWBNLSA-N	Known	1
oxoproline	485935	156	10	7405	C01879	ODHCTXKNWHHXJC-VKHMYHEASA-N	Known	1
orotic acid	586317	254	18492	967	C00295	PXQPEWDEAKTCGB-UHFFFAOYSA-N	Known	1
oleic acid	781527	339	1677	445639	C00712	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	Known	1
N-methylalanine	285825	130	160842	5288725	C02721	GDFAOVXKHJXLEI-VKHMYHEASA-N	Known	1
N-acetylmannosamine	735323	319	3244	439281	C00645	OVRNDRQMDRJTHS-ZTVVOAFPSA-N	Known	1
n-acetylglutamate	477776	158	84199	70914	C00624	RFMMMVDNIPUKGG-YFKPBYRVSA-N	Known	1
n-acetyl-d-hexosamine	746341	319	1674	24139	C03878	OVRNDRQMDRJTHS-FMDGEEDCSA-N	Known	1
myo-inositol	730022	305	1741	892	C00137	CDAISMWEOUEBRE-UHFFFAOYSA-N	Known	1
methionine	483560	176	45	6137	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N	Known	1
mannose	645856	205	70	18950	C00159	WQZGKKKJIJFFOK-QTVWNMPRSA-N	Known	1
mannitol	663215	319	17883	6251	C00392	FBPFZTCFMRRESA-KVTDHHQDSA-N	Known	1
malic acid	463180	233	1391	525	C00711	BJEPYKJPYRNKOW-UHFFFAOYSA-N	Known	1
lyxitol	573587	217	233	439255	C00532	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Known	1
linolenic acid	780376	108	4704	5280934	C06427	DTOSIQBPPRVQHS-PDBXOOCHSA-N	Known	1
leucine	345845	158	1794	6106	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Known	1
lactulose	929908	204	6432	11333	C07064	JCQLYHFGKNRPGE-FCVZTGTOSA-N	Known	1
lactamide	265698	232	415	94220		SXQFCVDSOLSHOQ-UHFFFAOYSA-N	Known	1
itaconic acid	386511	147	101725	811	C00490	LVHBHZANLOWSRM-UHFFFAOYSA-N	Known	1
isothreitol	464779	217	16903	169019	C16884	UNXHWFMMPAWVPI-QWWZWVQMSA-N	Known	1
isohexonic acid	698302	333	100866	604		RGHNJXZEOKUKBD-UHFFFAOYSA-N	Known	1
inosine	897184	230	1728	6021	C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N	Known	1
indole-3-lactate	764586	202	724	92904	C02043	XGILAAMKEQUXLS-UHFFFAOYSA-N	Known	1
hydroxylamine	253158	146	4211	787	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N	Known	1
hydrocinnamic acid	434422	104	114270	107	C05629	XMIIGOLPHOKFCH-UHFFFAOYSA-N	Known	1
hexuronic acid	667373	160	4554	152867		IAJILQKETJEXLJ-UHFFFAOYSA-N	Known	1
hexitol	704741	217	255	453	C00392	FBPFZTCFMRRESA-UHFFFAOYSA-N	Known	1
heptadecanoic acid	751309	117	727	10465		KEMQGTRYUADPNZ-UHFFFAOYSA-N	Known	1
glycolic acid	227636	177	1971	757	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N	Known	1
glycerol-alpha-phosphate	590747	357	1687	754	C03189	AWUCVROLDVIAJX-UHFFFAOYSA-N	Known	1
glyceric acid	377495	189	48	439194	C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N	Known	1
glutamine	600000	156	171972	5961	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N	Known	1
glucose-6-phosphate	818275	387	308	5958	C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N	Known	1
glucose	659798	319	22	64689	C00221	WQZGKKKJIJFFOK-VFUOTHLCSA-N	Known	1
glucoheptulose	828606	217	3191	5459879	C02076	HSNZZMHEPUFJNZ-SHUUEZRQSA-N	Known	1
galactonic acid	690882	292	4706	128869	C00880	RGHNJXZEOKUKBD-MGCNEYSASA-N	Known	1
fucose	578299	160	3009	439650	C02095	SHZGCJCMOBCMKK-FPRJBGLDSA-N	Known	1
ethanolamine	344719	174	3212	700	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N	Known	1
deoxypentitol	528774	231	33037	270738		FJGNTEKSQVNVTJ-UHFFFAOYSA-N	Known	1
cystine	804619	218	94	595	C01420	LEVWYRKDKASIDU-UHFFFAOYSA-N	Known	1
creatinine	502599	115	31	588	C00791	DDRJAANPRJIHGJ-UHFFFAOYSA-N	Known	1
citrulline	622918	157	46151	9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N	Known	1
cis-gondoic acid	847372	367	87783	5282768	C16526	                           	Known	1
