sample index	File Id	Mx Class	Mx Sample	Label	Species	Organ	treatment	time	Treatments	Cut into 2 clusters
RT 0HR 1_001	161207bOEsa18_1	295365	295366	RT 0HR 1_001	mouse	plasma	RT	0h	1 - RT 0 HR	1
RT 0HR 2_002	161207bOEsa19_1	295365	295367	RT 0HR 2_002	mouse	plasma	RT	0h	1 - RT 0 HR	1
RT 0HR 3_003	161207bOEsa26_1	295365	295368	RT 0HR 3_003	mouse	plasma	RT	0h	1 - RT 0 HR	1
RT 0HR 4_004	161207bOEsa21_1	295365	295369	RT 0HR 4_004	mouse	plasma	RT	0h	1 - RT 0 HR	1
30 C 0HR 1_005	161207bOEsa13_1	295371	295372	30 C 0HR 1_005	mouse	plasma	C	0h	2 - 30 C 0HR	1
30 C 0HR 2_006	161207bOEsa25_1	295371	295373	30 C 0HR 2_006	mouse	plasma	C	0h	2 - 30 C 0HR	1
30 C 0HR 3_007	161207bOEsa20_1	295371	295374	30 C 0HR 3_007	mouse	plasma	C	0h	2 - 30 C 0HR	1
30 C OHR 4_008	161207bOEsa01_1	295371	295375	30 C OHR 4_008	mouse	plasma	C	0h	2 - 30 C 0HR	1
30 C OHR 5_009	161207bOEsa24_1	295371	295376	30 C OHR 5_009	mouse	plasma	C	0h	2 - 30 C 0HR	1
RT 4HR 1_010	161207bOEsa12_1	295377	295378	RT 4HR 1_010	mouse	plasma	RT	4h	3 - RT 4 HR	1
RT 4HR 2_011	161207bOEsa03_1	295377	295379	RT 4HR 2_011	mouse	plasma	RT	4h	3 - RT 4 HR	1
RT 4HR 3_012	161207bOEsa23_1	295377	295380	RT 4HR 3_012	mouse	plasma	RT	4h	3 - RT 4 HR	1
RT 4HR 4_013	161207bOEsa17_1	295377	295381	RT 4HR 4_013	mouse	plasma	RT	4h	3 - RT 4 HR	1
30 C 4 HR 4_017	161207bOEsa07_1	295383	295387	30 C 4 HR 4_017	mouse	plasma	C	4h	4 - 30 C 4HR	1
30 C 4HR 1_014	161207bOEsa29_1	295383	295384	30 C 4HR 1_014	mouse	plasma	C	4h	4 - 30 C 4HR	1
30 C 4HR 2_015	161207bOEsa32_1	295383	295385	30 C 4HR 2_015	mouse	plasma	C	4h	4 - 30 C 4HR	1
30 C 4HR 3_016	161207bOEsa14_1	295383	295386	30 C 4HR 3_016	mouse	plasma	C	4h	4 - 30 C 4HR	1
RT 12 HR 1_018	161207bOEsa05_1	295389	295390	RT 12 HR 1_018	mouse	plasma	RT	12h	5 - RT 12 HR	1
RT 12 HR 2_019	161207bOEsa08_1	295389	295391	RT 12 HR 2_019	mouse	plasma	RT	12h	5 - RT 12 HR	1
RT 12 HR 3_020	161207bOEsa22_1	295389	295392	RT 12 HR 3_020	mouse	plasma	RT	12h	5 - RT 12 HR	1
RT 12 HR 4_021	161207bOEsa30_1	295389	295393	RT 12 HR 4_021	mouse	plasma	RT	12h	5 - RT 12 HR	1
RT 12 HR 5_022	161207bOEsa10_1	295389	295394	RT 12 HR 5_022	mouse	plasma	RT	12h	5 - RT 12 HR	1
30 C 12 HR 1_023	161207bOEsa09_1	295395	295396	30 C 12 HR 1_023	mouse	plasma	C	12h	6 - 30 C 12 HR	1
30 C 12 HR 2_024	161207bOEsa28_1	295395	295397	30 C 12 HR 2_024	mouse	plasma	C	12h	6 - 30 C 12 HR	1
30 C 12 HR 3_025	161207bOEsa11_1	295395	295398	30 C 12 HR 3_025	mouse	plasma	C	12h	6 - 30 C 12 HR	1
30 C 12 HR 4_026	161207bOEsa16_1	295395	295399	30 C 12 HR 4_026	mouse	plasma	C	12h	6 - 30 C 12 HR	1
RT 24 HR 3_029	161207bOEsa02_1	295401	295404	RT 24 HR 3_029	mouse	plasma	RT	24h	7 - RT 24 HR	2
RT 24 HR 4_030	161207bOEsa15_1	295401	295405	RT 24 HR 4_030	mouse	plasma	RT	24h	7 - RT 24 HR	2
RT 24HR 1_027	161207bOEsa27_1	295401	295402	RT 24HR 1_027	mouse	plasma	RT	24h	7 - RT 24 HR	1
RT 24HR 2_028	161207bOEsa06_1	295401	295403	RT 24HR 2_028	mouse	plasma	RT	24h	7 - RT 24 HR	2
30 C 24HR 1_031	161207bOEsa33_1	295407	295408	30 C 24HR 1_031	mouse	plasma	C	24h	8 - 30 C 24 HR	2
30 C 24HR 2_032	161207bOEsa34_1	295407	295409	30 C 24HR 2_032	mouse	plasma	C	24h	8 - 30 C 24 HR	2
30 C 24HR 3_033	161207bOEsa04_1	295407	295410	30 C 24HR 3_033	mouse	plasma	C	24h	8 - 30 C 24 HR	2
30 C 24HR 4_034	161207bOEsa31_1	295407	295411	30 C 24HR 4_034	mouse	plasma	C	24h	8 - 30 C 24 HR	2
