treatment	Control	Control	Control	Treatment1	Treatment1	Treatment1	Treatment2	Treatment2	Treatment2	Treatment2
label	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
compound 1	0.416254932	0.848141988	0.630583862	0.487509026	0.848147857	0.243520319	0.403666394	0.895570146	0.751461038	0.981593931
compound 2	0.469502866	0.048730828	0.423393081	0.967983463	0.523885182	0.879254982	0.137471164	0.57551467	0.326824102	0.461514966
compound 3	0.74225787	0.57910292	0.158599287	0.595811722	0.413960399	0.799352816	0.138905985	0.19672698	0.526563815	0.133208968
compound 4	0.754534793	0.534477445	0.026436603	0.065450033	0.836609621	0.248117344	0.037933851	0.030037022	0.356945594	0.018114737
compound 5	0.964190034	0.247512325	0.375048781	0.852098996	0.822128228	0.009664198	0.291570818	0.420772466	0.598128238	0.049339593
compound 6	0.490567155	0.692956171	0.322914605	0.792351825	0.01961668	0.55273959	0.340854364	0.038548055	0.320191849	0.401082224
compound 7	0.318415388	0.897716243	0.233510999	0.580584579	0.439421737	0.708567175	0.843530642	0.292645907	0.450498939	0.978420972
compound 8	0.343343968	0.910201757	0.546782019	0.40555725	0.612183491	0.588355271	0.917523357	0.700636638	0.71369056	0.771530747
compound 9	0.291137313	0.873647904	0.567220034	0.470067041	0.434158344	0.297234663	0.915518058	0.351791814	0.214142245	0.883448192
compound 10	0.299908151	0.287644951	0.300531887	0.859911236	0.989649373	0.94838483	0.418224593	0.738087656	0.871898794	0.279147049
compound 11	0.212766952	0.769183861	0.720658441	0.744818118	0.792563503	0.259914989	0.170707346	0.486067205	0.190673104	0.550942758
compound 12	0.233557607	0.715185841	0.868913493	0.69006755	0.470216473	0.472901324	0.116335426	0.491321893	0.682461999	0.683302801
compound 13	0.244596297	0.589938277	0.222851662	0.290618506	0.114215551	0.04034366	0.949264422	0.024254049	0.083708149	0.673921359
compound 14	0.213142872	0.775856693	0.392034001	0.053625123	0.195263503	0.466212154	0.169518653	0.112939934	0.751750456	0.138967497
compound 15	0.743237265	0.128865168	0.368426511	0.644081262	0.49739974	0.263769846	0.919802068	0.952056171	0.439326315	0.52104468
compound 16	0.080050607	0.372383749	0.85187066	0.298319322	0.306438702	0.401779156	0.974816286	0.882602031	0.120917076	0.017769926
compound 17	0.792724677	0.711897667	0.726935827	0.462522473	0.382260594	0.238259812	0.903045065	0.994467471	0.989434407	0.950056153
compound 18	0.958951857	0.33313435	0.30923935	0.576702422	0.481060648	0.772901849	0.195375231	0.551715411	0.528128983	0.294687073
compound 19	0.779413451	0.400360365	0.705003473	0.025849008	0.78893285	0.670099403	0.340636819	0.781380669	0.215283721	0.428615926
compound 20	0.217858059	0.150737757	0.509996001	0.856944261	0.291651478	0.390892177	0.608052422	0.242611685	0.522826249	0.618570628
