treatment	Pre	Pre	Pre	Mid	Mid	Mid	Post	Post	Post
sample ID	1	2	3	1	2	3	1	3	2
label	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
compound 1	0.625760982	0.788682177	0.477196624	0.331597885	0.110532569	0.296956258	0.899808555	0.197729496	0.833568329
compound 2	0.26542312	0.832487428	0.058439242	0.405624634	0.963749458	0.255282592	0.849743166	0.559608259	0.782580518
compound 3	0.04513829	0.491224391	0.769606961	0.275516285	0.43496574	0.320514848	0.481170786	0.127807774	0.758253631
compound 4	0.402885499	0.175011058	0.579774309	0.275829742	0.629556693	0.544502364	0.632205277	0.264886487	0.587490991
compound 5	0.892901574	0.253591161	0.919387654	0.290160466	0.037557392	0.512808351	0.443582188	0.76971392	0.399269259
compound 6	0.935222208	0.20197003	0.060532186	0.991745308	0.322650575	0.525906568	0.681227616	0.06178125	0.837022596
compound 7	0.77002302	0.868491316	0.01655877	0.439613534	0.920496673	0.207482733	0.540677493	0.527824971	0.218426143
compound 8	0.933878	0.863492065	0.672419682	0.131489643	0.512632702	0.889701284	0.644689734	0.786565746	0.50683305
compound 9	0.394648269	0.227419482	0.119540909	0.147965294	0.525544465	0.975637459	0.674261991	0.971953503	0.156779479
compound 10	0.938546679	0.609551343	0.748507598	0.889764043	0.300481332	0.005116196	0.910902491	0.089680206	0.477096568
compound 11	0.737175333	0.608352033	0.713372393	0.42546117	0.931397971	0.116881916	0.552354369	0.706245469	0.80108567
compound 12	0.060243047	0.994166737	0.150489106	0.73020638	0.983905273	0.920934969	0.852153722	0.913619925	0.430905947
compound 13	0.334871307	0.490576614	0.682456264	0.3735028	0.238084252	0.067440979	0.862629798	0.914610152	0.630416104
compound 14	0.654031502	0.847936198	0.266481174	0.345608184	0.755123454	0.23407337	0.457978555	0.992500827	0.451526695
compound 15	0.053792512	0.463316833	0.169923129	0.777458106	0.431812033	0.939632705	0.71447786	0.894137327	0.200763358
compound 16	0.447823962	0.066289262	0.035845717	0.356492996	0.608956468	0.12491643	0.793149357	0.361122608	0.309618936
compound 17	0.199098908	0.320888504	0.98883047	0.568472477	0.450531242	0.91556608	0.627899723	0.070607471	0.240183816
compound 18	0.255233314	0.054995845	0.120089994	0.362655009	0.778883088	0.564095473	0.46260673	0.675915494	0.574268012
compound 19	0.693592973	0.139693645	0.964819549	0.543335278	0.903488027	0.986463525	0.058909786	0.636614753	0.76456688
compound 20	0.496349964	0.610709022	0.486410111	0.37884985	0.725663341	0.195139375	0.181159781	0.538269747	0.432506401
