,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1534,738,942,865,769,690,970,920,1075,808,1202,886,1023,1208,854,782,1376,884,737,1011
2,1049,624,838,613,538,321,453,269,585,553,783,533,551,469,271,492,777,639,972,618
3,330884,562859,476797,515053,383462,524435,467085,501900,463298,613820,386425,523192,295341,628276,438805,469530,438119,431468,418174,384916
4,2117,1772,1902,1968,1796,750,1135,952,1366,1649,1341,1638,1670,1436,1688,2148,1462,2094,1312,2001
5,91013,90148,91870,73537,68975,78258,117929,97460,116556,104688,95823,109908,116603,94841,101767,87553,117636,89075,89585,86714
6,1074866,950702,1059343,974377,752575,815688,941155,740938,930608,1099995,823866,896451,731055,1030409,971485,924421,964987,863664,823667,848758
7,85331,80026,82871,117513,74349,88449,103084,98733,101232,92008,78108,133154,138848,93505,103607,81904,100185,87188,87747,110136
8,59805,66502,49213,105286,59265,95007,70719,91342,70038,102469,66808,117797,80403,86230,122529,11450,80753,55577,40305,73812
9,664,586,713,1316,1051,729,736,707,786,616,817,664,796,8551,1161,704,784,725,678,701
10,14892,15331,5731,12023,9366,6699,12589,13958,10383,7166,13577,7164,11168,6850,5295,5953,14864,11446,12838,12504
11,2121,1704,2238,603,1254,1355,2620,1735,1792,1633,3240,2058,2781,802,1675,2097,1567,1361,2538,1486
12,19381,19406,24430,19410,14950,14539,15164,16120,16079,14556,18500,21577,26678,17668,20274,15466,19849,17004,17502,20876
13,79089,91371,80996,80044,78222,99617,108555,95045,86420,105759,80244,93040,83806,104070,101974,83006,109015,91507,103761,96440
14,30575,18372,32207,20318,11983,23491,33157,20416,27090,22354,21080,21024,27774,30335,27026,21768,42084,27216,21229,28451
15,1365,1124,2102,1327,826,1383,1392,1764,1056,1219,1722,838,1464,1800,1451,1665,2217,1314,1581,701
16,24633,27634,35053,37527,32261,28402,16421,17712,23677,24421,28542,8629,12579,26387,14115,26314,35757,20408,37904,19452
17,394,277,431,169,43,321,428,535,410,717,809,288,637,318,307,382,397,437,138,279
18,5216,3853,3308,2698,4574,3085,4833,2663,4842,3584,3931,3360,2101,3773,3905,3504,4068,3688,3937,2270
19,718138,522768,780247,637155,593530,559801,533390,689218,561700,577588,549121,599168,850712,523126,733804,735411,604640,610791,474012,686616
20,3396,2427,2710,2843,2221,3920,3875,3525,3086,2815,1850,4228,3611,2966,2455,2967,3243,3483,2946,10008
21,142191,132851,121233,121475,104874,102292,120424,117883,130360,128678,131571,117217,125851,137720,127064,107262,142109,125431,125844,126671
22,2351,1607,1995,1076,1289,1114,1947,1301,1610,1032,1286,1410,1229,1350,1236,1803,1516,1701,1675,1490
23,3086,1365,1740,1876,923,948,1395,1051,1726,2008,2940,1294,1517,1240,1375,1060,1346,1104,1203,757
24,412,648,636,834,609,584,1044,535,784,274,450,627,720,946,576,856,856,505,860,642
25,748,679,927,823,715,726,985,810,808,900,779,798,969,860,713,819,1098,716,989,898
26,1994,3344,1101,1779,1204,1198,2548,1126,2334,3420,1467,2121,1346,2981,657,1969,1739,282,3432,210
27,4846,4137,4803,3897,3617,1765,1833,2165,4170,3523,4631,5055,6278,3834,3887,5132,4703,3685,4058,4634
28,9921,8559,11458,8863,7546,8260,10430,7644,8505,8328,7925,8560,8724,9204,9434,8568,9330,9325,9187,7887
29,131072,247074,175671,265548,175074,310856,235528,259617,202086,226511,310619,216562,93820,238597,121014,211750,183511,206857,222767,192375
30,485,561,392,438,1153,836,1353,487,435,308,463,451,609,509,376,1236,445,1815,316,408
31,962,773,794,788,1084,505,835,429,806,694,627,520,587,887,485,491,1235,873,1305,607
32,47138,41597,40197,37966,45811,26688,41574,38695,39011,51870,53718,42334,39568,20483,46468,36770,21537,48726,45136,44915
33,2619,1562,1451,1866,985,2116,2967,2181,2042,1054,1519,2014,1666,1311,1821,1096,2572,837,2889,1086
34,43731,44206,41835,46854,36776,41099,47462,40254,42255,49220,44811,45415,43521,50714,48053,41317,51615,46578,45601,52179
35,19464,18201,39236,21458,23734,18242,22092,17732,22072,25802,15484,21770,16560,14050,17307,18379,18378,25406,19556,26282
36,1760,1719,1042,680,1259,208,168,321,1408,262,479,386,3023,833,579,642,629,837,474,583
37,148557,92553,110237,93549,87005,86749,86713,87167,117422,83162,74426,90942,142321,82728,95924,88766,110054,93069,91969,94937
38,437772,449584,346248,359526,291677,337207,366797,392476,362288,308841,336804,320330,296816,338337,294885,282629,451947,325558,377825,310755
39,3345,2557,3949,3808,3216,809,4040,3278,3577,3445,3543,3563,3618,3878,3315,3321,5085,3728,3567,3629
40,64163,91868,79640,81844,63922,83898,69882,79782,81346,79307,75686,86944,99118,87424,82849,62870,82763,89061,86452,90781
41,29919,15429,10302,6403,13085,2160,2256,4924,12081,3120,5730,4829,24743,9172,5864,7920,6526,18088,6139,6696
42,1037,1031,1341,34403,1808,1885,15082,1299,1558,1250,5520,1522,1102,1185,1465,1724,1158,1131,1122,828
43,8430,6681,8221,5498,5733,5764,9573,6143,9483,4387,4705,6140,7138,7473,4930,6876,6419,7069,7329,9035
44,36739,47400,46386,23001,39495,20746,37965,48620,47986,50464,30869,48742,24072,44745,37996,44199,47332,46868,32745,23077
45,3094,2945,2066,2573,2491,2809,3480,2245,3242,1472,3659,2237,2879,2512,2303,1087,4037,2054,3692,4244
46,11358,6370,5988,4365,5280,3566,4536,3814,7856,3952,4175,3976,9697,5024,4924,5002,5665,7916,4648,4703
47,44312,32993,44148,37402,31845,40649,40056,43026,38333,32052,56122,43999,49920,33190,38441,35257,45469,33851,40533,33679
48,6520,6093,6438,11504,5191,6184,11497,5817,8588,4152,7489,11082,8500,9870,11723,9538,16016,10326,6775,8611
49,5176,8571,3186,4616,8061,8135,5992,7680,6626,8515,6175,6774,2983,7422,4505,6364,4151,7255,7582,6152
50,7532,7759,14723,8469,7200,7932,8161,6873,8737,9294,7278,12663,9652,7987,9826,8484,8561,5677,11053,7291
51,61338,50138,44678,41072,35823,27365,36858,25316,56290,46492,39952,70815,83345,53314,41422,42688,58543,45771,36610,45192
52,2467,1234,1634,1244,2675,997,1895,1455,2056,1381,2194,751,1329,967,1389,1229,1466,1467,1385,953
53,3431,4361,6385,4603,3531,3664,4196,4362,3391,4711,4786,3606,3105,4132,3130,3846,3305,4257,3746,4557
54,5692,4635,4871,6898,3507,5509,5162,4989,5572,4382,4421,4415,5407,2578,2765,3855,530,1617,5309,4741
55,60834,70391,64295,74452,52846,71358,64593,84637,86894,102719,64704,116398,89230,87290,84217,59639,74587,74137,68076,82483
56,12776,7933,4145,3046,5882,1305,303,2720,5431,818,1261,2975,12119,4646,2312,3444,3007,7891,2818,1982
57,129961,207413,173807,167228,153615,181540,178969,186170,190574,198008,125882,203008,109175,236717,150723,203280,199825,199977,184186,130567
58,21744,17681,23443,28034,20617,9823,13843,9167,31933,20785,9638,13499,24001,15866,19000,11339,12904,23157,10885,18030
59,557283,621589,572360,608046,1457014,798321,730385,588505,490029,488097,867055,519871,498268,589238,682347,941373,480811,791939,880314,765419
60,1621,793,1472,1050,3120,1718,2144,1586,1293,979,2101,1478,1333,1094,968,1978,1373,2150,2337,1814
61,2706,2818,2884,2657,1782,3056,3436,2127,3089,2531,3209,2491,2542,2604,2313,2860,3849,2813,3256,2684
62,88064,127836,94010,104697,80637,117413,125153,115001,114297,112991,89239,131358,73695,168079,124167,111864,120696,119907,124986,102537
63,5231,1542,1562,2101,2605,6548,11087,7767,9122,8795,3260,7333,13709,4537,7529,6303,4825,2766,1567,3078
64,3179,3221,4159,3956,3037,4578,1357,4913,3457,3652,4201,4869,4658,3811,4690,4481,3539,3256,3373,3876
65,2638,3307,4411,3652,1143,4837,4855,4145,3317,4823,4118,5187,7337,3469,4612,3714,3637,3165,1680,3417
66,9817,6603,6588,7983,8683,2593,3710,2972,4958,5877,6879,4575,4597,5106,2812,3329,5106,5497,3140,5393
67,169379,167553,158029,132464,172083,169024,220653,103790,184378,171240,120305,122399,142882,152499,155726,109591,206808,145467,238653,118793
68,63147,52424,57651,43365,53500,59538,66485,38377,64093,57987,35346,51709,45151,51147,52736,46030,84413,63052,62846,45623
69,5528,6859,6244,9148,6939,9315,6284,6986,11749,16360,6348,18887,16246,19978,25285,7180,6884,11315,5892,4458
70,4554,1345,1439,1086,2398,2179,6761,1530,1739,1777,3710,6288,1656,1518,1612,1586,2269,1205,1856,2906
71,2627,1802,1947,2411,1815,1294,2385,1252,2814,974,2582,1165,2725,2168,2618,1293,2911,860,1061,985
72,9713,4018,5877,5320,4824,558,5763,5011,5847,3250,5791,3773,4024,3286,4014,1619,2768,4142,2250,4656
73,8106,6329,9484,9120,9129,7556,8727,2810,7447,7857,4499,8854,11538,7830,4582,9717,10222,9213,3023,8493
74,721,282,291,393,612,634,1226,662,1153,1261,615,914,1683,990,608,546,938,752,374,812
75,3571,2565,3423,1773,1863,2765,2144,2550,3416,3131,3482,1731,2410,2443,2255,1606,2600,1922,2397,2133
76,137061,158347,152950,163448,128747,125274,177051,171081,154394,138490,148774,125399,115872,136466,126451,135709,140571,140945,180936,159921
77,1951,2770,2704,2014,1751,1975,2580,1835,2417,1037,1742,2053,1998,1167,1942,1701,1447,2042,1728,2521
78,182606,88007,78643,49019,94609,35357,57716,53896,96190,48118,62321,48833,83121,63856,49097,81344,38442,91929,61526,33835
79,8894,6671,6692,2335,3398,4251,355,5532,3799,7513,5635,4497,2506,5212,4064,5293,9159,2896,5830,4750
80,122597,147869,123278,146583,115188,165324,185167,153778,194994,148508,133553,164544,170087,174095,170461,140672,187776,159822,142355,120627
81,11980,13632,13204,14725,14074,8214,10103,9184,7094,12355,16766,6568,10513,13000,7988,6783,13591,12673,11358,17240
82,997447,904055,1029959,894154,795620,926961,713016,842756,1028180,1170068,958933,1072273,1284732,874813,1075109,997258,979469,906240,899275,1031974
83,542,250,896,598,633,727,539,781,524,638,999,581,837,656,688,240,112,651,711,920
84,895,1345,980,1006,1094,653,2383,143,1857,1572,1602,2244,1612,1371,870,1390,2079,2041,1946,1403
85,5506,3660,3805,2331,4872,2715,1267,2767,4343,3605,1472,3095,2802,4523,3182,3003,4930,4275,3678,3080
86,402,877,305,678,583,729,826,962,641,158,499,370,721,789,814,580,620,243,283,420
87,1204,1211,1334,1234,1673,1157,749,1007,1282,1058,1278,1099,1387,1736,1100,617,725,1681,1409,1187
88,4846,4698,5188,4998,4034,3999,6092,4863,4636,4601,4924,4235,4867,5119,4559,4462,6575,4947,5977,4625
89,919,760,688,873,664,565,927,677,807,883,737,607,537,898,852,684,1005,887,872,839
90,7881,6791,4714,6838,7596,6338,5338,7117,8859,8045,10348,8362,10939,6456,5564,5311,4696,9929,5581,9407
91,1320,1076,1392,1531,931,955,1251,704,1129,781,1069,872,1211,847,1288,724,858,1254,803,664
92,37615,34082,24865,44701,27639,37857,38007,40809,36438,41174,30101,49851,44808,35488,43564,30120,44310,19324,27322,18103
93,2130,6856,4850,3121,4103,3734,3568,4508,4675,4997,2943,3606,1553,5405,1367,4268,4591,5457,1870,3104
94,9096,8877,7908,8658,8329,6897,10424,6468,7666,9887,9638,8617,10489,11323,3623,8298,8679,7292,6775,8533
95,6043,416,399,328,347,386,2319,661,583,469,7924,415,553,420,303,240,896,1729,582,906
96,1158,1162,1006,1138,976,1216,998,1187,1699,1264,979,1283,1346,1202,1213,1411,1805,570,1176,1179
97,117711,82303,65875,46419,59838,44835,78186,60028,77919,65481,102429,61019,88384,69690,77063,55513,78129,72963,56482,46075
98,366814,324373,485277,399523,301293,291935,359226,353349,365670,324521,351592,428418,499777,307504,463609,354129,348340,333821,392152,493284
99,5146,3914,5726,3964,4159,3034,4812,2528,4693,4918,3632,4916,3988,3082,4258,3716,6296,3183,5546,5012
100,3128,2594,2863,2060,2332,1573,2174,1656,3084,2501,1884,1734,2487,2670,2002,2113,3473,3132,1533,2690
101,1972,1652,1104,1041,1070,1176,936,764,1691,1574,1139,1442,708,1411,1199,884,1147,1645,1223,880
102,2890,1922,2829,4778,2114,5565,3141,1869,3887,4221,2414,1913,1274,3493,3040,3597,2752,3622,2685,4189
103,94884,73971,94259,69456,67932,70689,88835,61861,85985,70668,62289,67786,65756,79413,76197,70203,92646,69578,87456,73510
104,8921,8749,9793,9549,7000,5181,6562,4727,6378,7240,15476,5988,4952,7186,3775,5049,4263,9153,9471,9276
105,6534,7095,6264,5266,4316,6361,7599,6412,6500,7234,7397,6089,5703,6185,6948,6971,8300,7182,7528,7717
106,5494,4189,4550,3271,4358,2652,3873,2776,1240,1422,2731,3338,5989,3655,3828,3423,1305,4440,3826,1877
107,6256,5778,7635,8299,6465,6737,6500,5366,7132,7180,6942,6206,10263,6416,9159,8053,8133,6639,5676,9603
108,14049,13647,10387,12493,9382,12222,14922,12690,16279,12013,11776,12810,11872,11184,11954,10772,15672,14932,13102,14330
109,517654,686130,601045,867289,724908,953123,890230,975052,732029,657178,887233,684249,530542,637652,586270,764572,688032,724700,795272,757006
110,1835,1338,1630,1140,771,1105,1091,1523,1279,938,1251,1170,1112,13360,859,1498,12713,952,933,1203
111,144,143,191,238,108,790,1026,1934,545,300,195,144,286,228,2760,387,187,210,158,194
112,415,219,331,238,185,1373,2227,2553,1793,778,119,596,884,525,2582,1928,613,128,155,143
113,2954,2925,3283,4042,2403,4284,4231,4059,3383,3130,3530,2944,4285,3231,3396,3060,3873,3511,2267,885
114,1027,722,972,724,799,877,849,564,901,1032,806,658,749,920,915,793,781,788,913,710
115,171379,59293,16151,7057,22758,2457,500,10670,4235,14932,3675,2503,2793,117476,31302,2189,3227,78812,8482,9101
116,4342,2254,5158,4203,4494,2879,3574,3390,6828,6220,2539,3735,5215,4423,4326,4980,4347,5289,4747,2888
117,3174,6016,4313,2427,18617,435,2130,5391,2595,5166,3714,824,1867,1754,1992,1193,1515,1804,2186,2308
118,1006,766,687,567,511,304,683,605,420,1074,678,474,902,813,732,209,489,394,532,382
119,109093,85013,74233,30215,67946,18535,48885,46810,72574,76197,37938,51844,71236,116991,71832,56651,73868,82595,29698,44236
120,1671,1707,1260,1070,1250,1537,311,1436,1435,1227,3259,1040,1566,583,1027,1010,1619,1271,1295,1162
121,1345,1063,1231,957,1004,742,1335,1098,680,1311,1749,1279,1531,1166,1145,999,986,832,1124,1373
