"","PubChem","KEGG","InChI Key","label"
"1","6912","C00379","HEBKCHPVOIAQTA-NGQZWQHPSA-N","xylitol"
"2","1188","C00385","LRFVTYWOQMYALW-UHFFFAOYSA-N","xanthine"
"3","6287","C00183","KZSNJWFQEVHDMF-BYPYZUCNSA-N","valine"
"4","6029","C00299","DRTQHJPVMGBUCF-XVFCMESISA-N","uridine"
"5","1175","C00366","LEHOTFFKMJEONL-UHFFFAOYSA-N","uric.acid"
"6","1176","C00086","XSQUKJJJFZCRTK-UHFFFAOYSA-N","urea"
"7","6057","C00082","OUYCCCASQSFEME-QMMMGPOBSA-N","tyrosine"
"8","6305","C00078","QIVBCDIJIAJPQS-VIFPVBQESA-N","tryptophan"
"9","7427","C01083","HDTRYLNUVZCQOY-LIZSDCNHSA-N","trehalose"
"10","5810","C01157","PMMYEEVYMWASQN-DMTCNVIQSA-N","trans.4.hydroxyproline"
"11","92729","C02483","QUEDXNHFTDJVIY-DQCZWYHMSA-N","tocopherol.gamma."
"12","638015","C00376","NCYCYZXNIZJOKI-OVSJKPMPSA-N","tocopherol.alpha."
"13","6288","C00188","AYFVYJQAPQTCCC-GBXIJSLDSA-N","threonine"
"14","5460407","C01620","JPIJQSOTBSSVTP-STHAYSLISA-N","threonic.acid"
"15","169019","C16884","UNXHWFMMPAWVPI-QWWZWVQMSA-N","threitol"
"16","1123","C00245","XOAAWQZATWQOTB-UHFFFAOYSA-N","taurine"
"17","5988","C00089","CZMRCDWAGMRECN-UGDNZRGBSA-N","sucrose"
"18","1110","C00042","KDYFGRWQOYBRFD-UHFFFAOYSA-N","succinic.acid"
"19","5281","C01530","QIQXTHQIDYTFRH-UHFFFAOYSA-N","stearic.acid"
"20","5780","C00794","FBPFZTCFMRRESA-JGWLITMVSA-N","sorbitol"
"21","5951","C00065","MTCFGRXMJLQNBG-REOHCLBHSA-N","serine"
"22","338","C00805","YGSDEFSMJLZEOE-UHFFFAOYSA-N","salicylic.acid"
"23","5779","C00121","HMFHBZSHGGEWLO-SOOFDHNKSA-N","ribose"
"24","5460677","C01685","QXKAIJAYHKCRRA-BXXZVTAOSA-N","ribonic.acid"
"25","827","C00474","HEBKCHPVOIAQTA-ZXFHETKHSA-N","ribitol"
"26","1023","C00013","XPPKVPWEQAFLFU-UHFFFAOYSA-N","pyrophosphate"
"27","15047","C02067","PTJWIQPHWPFNBW-GBNDHIKLSA-N","pseudo.uridine"
"28","10442","C02457","YPFDHNVEDLHUCE-UHFFFAOYSA-N","propane.1.3.diol.NIST"
"29","145742","C00148","ONIBWKKTOPOVIA-BYPYZUCNSA-N","proline"
"30","6931662","","HXEACLLIILLPRG-RXMQYKEDSA-N","pipecolinic.acid"
"31","1015","C00346","SUHOOTKUPISOBE-UHFFFAOYSA-N","phosphoethanolamine"
"32","1004","C00009","NBIIXXVUZAFLBC-UHFFFAOYSA-N","phosphate"
"33","1001","C05332","BHHGXPLMPWCGHP-UHFFFAOYSA-N","phenylethylamine"
"34","6140","C00079","COLNVLDHVKWLRT-QMMMGPOBSA-N","phenylalanine"
"35","8158","C01601","FBUKVWPVBMHYJY-UHFFFAOYSA-N","pelargonic.acid"
"36","445638","C08362","SECPZKHBENQXJG-FPLPWBNLSA-N","palmitoleic.acid"
"37","985","C00249","IPCSVZSSVZVIGE-UHFFFAOYSA-N","palmitic.acid"
"38","7405","C01879","ODHCTXKNWHHXJC-VKHMYHEASA-N","oxoproline"
"39","971","C00209","MUBZPKHOEPUJKR-UHFFFAOYSA-N","oxalic.acid"
"40","6262","C00077","AHLPHDHHMVZTML-BYPYZUCNSA-N","ornithine"
"41","445639","C00712","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","oleic.acid"
"42","5283387","C19670","FATBGEAMYMYZAF-KTKRTIGZSA-N","oleamide.NIST"
"43","439377","C01046","XLBVNMSMFQMKEY-BYPYZUCNSA-N","N.methylglutamic.acid"
"44","5288725","C02721","GDFAOVXKHJXLEI-VKHMYHEASA-N","N.methylalanine"
"45","70914","C00624","RFMMMVDNIPUKGG-YFKPBYRVSA-N","n.acetylglutamate"
"46","11005","C06424","TUNFSRHWOTWDNC-UHFFFAOYSA-N","myristic.acid"
"47","892","C00137","CDAISMWEOUEBRE-UHFFFAOYSA-N","myo.inositol"
"48","158980","C02989","QEFRNWWLZKMPFJ-YGVKFDHGSA-N","methionine.sulfoxide"
"49","6137","C00073","FFEARJCKVFRZRR-BYPYZUCNSA-N","methionine"
"50","13130","","CAAULPUQFIIOTL-UHFFFAOYSA-N","methanolphosphate"
"51","18950","C00159","WQZGKKKJIJFFOK-QTVWNMPRSA-N","mannose"
"52","525","C00711","BJEPYKJPYRNKOW-UHFFFAOYSA-N","malic.acid"
"53","10935","C07272","PEEHTFAAVSWFBL-UHFFFAOYSA-N","maleimide"
"54","439255","C00532","HEBKCHPVOIAQTA-IMJSIDKUSA-N","lyxitol"
"55","5962","C00047","KDXKERNSBIXSRK-YFKPBYRVSA-N","lysine"
"56","5280450","C01595","OYHQOLUKZRVURQ-HZJYTTRNSA-N","linoleic.acid"
"57","6106","C00123","ROHFNLRQFUQHCH-YFKPBYRVSA-N","leucine"
"58","3893","C02679","POULHZVOKOAJMA-UHFFFAOYSA-N","lauric.acid"
"59","612","C01432","JVTAAEKCZFNVCJ-UHFFFAOYSA-N","lactic.acid"
"60","94220","","SXQFCVDSOLSHOQ-UHFFFAOYSA-N","lactamide"
"61","151152","C00639","JPIJQSOTBSSVTP-GBXIJSLDSA-N","isothreonic.acid"
"62","6306","C00407","AGPKZVBTJJNPAG-WHFBIAKZSA-N","isoleucine"
"63","6021","C00294","UGQMRVRMYYASKQ-KQYNXXCUSA-N","inosine"
"64","92904","C02043","XGILAAMKEQUXLS-UHFFFAOYSA-N","indole.3.lactate"
"65","802","C00954","SEOVTRFCIGRIMH-UHFFFAOYSA-N","indole.3.acetate"
"66","790","C00262","FDGQSTZJBFJUBT-UHFFFAOYSA-N","hypoxanthine"
"67","787","C00192","AVXURJPOCDRRFD-UHFFFAOYSA-N","hydroxylamine"
"68","16639161","","DRAJWRKLRBNJRQ-UHFFFAOYSA-M","hydroxycarbamate.NIST"
"69","6274","C00135","HNDVDQJCIGZPNO-YFKPBYRVSA-N","histidine"
"70","464","C01586","QIAFMBKCNZACKA-UHFFFAOYSA-N","hippuric.acid"
"71","152867","","IAJILQKETJEXLJ-UHFFFAOYSA-N","hexuronic.acid"
"72","453","C00392","FBPFZTCFMRRESA-UHFFFAOYSA-N","hexitol"
"73","10465","","KEMQGTRYUADPNZ-UHFFFAOYSA-N","heptadecanoic.acid"
"74","6802","C00387","NYHBQMYGNKIUIF-UUOKFMHZSA-N","guanosine"
"75","757","C00160","AEMRFAOFKBGASW-UHFFFAOYSA-N","glycolic.acid"
"76","750","C00037","DHMQDGOQFOQNFH-UHFFFAOYSA-N","glycine"
"77","754","C03189","AWUCVROLDVIAJX-UHFFFAOYSA-N","glycerol.alpha.phosphate"
"78","753","C00116","PEDCQBHIVMGVHV-UHFFFAOYSA-N","glycerol"
"79","439194","C00258","RBNPOMFGQQGHHO-UWTATZPHSA-N","glyceric.acid"
"80","5961","C00064","ZDXPYRJPNDTMRX-VKHMYHEASA-N","glutamine"
"81","33032","C00025","WHUUTDBJXJRKMK-VKHMYHEASA-N","glutamic.acid"
"82","64689","C00221","WQZGKKKJIJFFOK-VFUOTHLCSA-N","glucose"
"83","6857417","C00800","RGHNJXZEOKUKBD-QTBDOELSSA-N","gluconic.acid"
"84","5460044","C01507","FBPFZTCFMRRESA-UNTFVMJOSA-N","galactitol"
"85","444972","C00122","VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric.acid"
"86","439650","C02095","SHZGCJCMOBCMKK-FPRJBGLDSA-N","fucose"
"87","5325915","C02341","SGMJBNSHAZVGMC-PWNYCUMCSA-N","erythronic.acid.lactone"
"88","222285","C00503","UNXHWFMMPAWVPI-ZXZARUISSA-N","erythritol"
"89","8193","C02277","LQZZUXJYWNFBMV-UHFFFAOYSA-N","dodecanol"
"90","440667","C05422","SBJKKFFYIZUCET-JLAZNSOCSA-N","dehydroascorbic.acid"
"91","94391","C12078","NFWKVWVWBFBAOV-MISYRCLQSA-N","dehydroabietic.acid"
"92","595","C01420","LEVWYRKDKASIDU-UHFFFAOYSA-N","cystine"
"93","5862","C00097","XUJNEKJLAYXESH-REOHCLBHSA-N","cysteine"
"94","588","C00791","DDRJAANPRJIHGJ-UHFFFAOYSA-N","creatinine"
"95","9989541","","ZHMWOVGZCINIHW-SPHYCDKFSA-N","conduritol.beta.epoxide"
"96","9750","C00327","RHGKLRLOHDJJDR-BYPYZUCNSA-N","citrulline"
"97","311","C00158","KRKNYBCHXYNGOX-UHFFFAOYSA-N","citric.acid"
"98","5997","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","cholesterol"
"99","379","C06423","WWZKQHOCKIZLMA-UHFFFAOYSA-N","caprylic.acid"
"100","2969","C01571","GHVNFZFCNZKVNT-UHFFFAOYSA-N","capric.acid"
"101","239","C00099","UCMIRNVEIXFBKS-UHFFFAOYSA-N","beta.alanine"
"102","2879","C01468","WVDDGKGOMKODPV-UHFFFAOYSA-N","benzylalcohol"
"103","243","C00180","WPYMKLBDIGXBTP-UHFFFAOYSA-N","benzoic.acid"
"104","5960","C00049","CKLJMWTZIZZHCS-REOHCLBHSA-N","aspartic.acid"
"105","6267","C00152","DCXYFEDJOCDNAF-REOHCLBHSA-N","asparagine"
"106","444899","C00219","YZXBAPSDXZZRGB-DOFZRALJSA-N","arachidonic.acid"
"107","10467","C06425","VKOBVWXKNCXXDE-UHFFFAOYSA-N","arachidic.acid"
"108","100714","C00872","JINBYESILADKFW-UHFFFAOYSA-N","aminomalonate"
"109","5950","C00041","QNAYBMKLOCPYGJ-REOHCLBHSA-N","alanine"
"110","196","C06104","WNLRTRBMVRJNCN-UHFFFAOYSA-N","adipic.acid"
"111","6083","C00020","UDMBCSSLTHHNCD-KQYNXXCUSA-N","adenosine.5.monophosphate"
