compound label	p value	adjusted p value
compound.1	0.848608160185757	0.942897955761952
compound.2	0.518273913239888	0.839204611427028
compound.3	0.126515662462812	0.556730266585515
compound.4	0.653933505757348	0.839204611427028
compound.5	0.779544867041183	0.917111608283745
compound.6	0.981120472305499	0.981120472305499
compound.7	0.167019079975654	0.556730266585515
compound.8	0.546034591694509	0.839204611427028
compound.9	0.0172567297798906	0.345134595597812
compound.10	0.522433303111616	0.839204611427028
compound.11	0.39202076061479	0.839204611427028
compound.12	0.0979276118090813	0.556730266585515
compound.13	0.421088014276189	0.839204611427028
compound.14	0.671363689141622	0.839204611427028
compound.15	0.341922907067915	0.839204611427028
compound.16	0.624922496062208	0.839204611427028
compound.17	0.923701241385378	0.972317096195135
compound.18	0.502079932562417	0.839204611427028
compound.19	0.0466779125982895	0.466779125982895
compound.20	0.142594169967551	0.556730266585515
