treatment	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post
sample ID	1	2	3	4	5	2	1	3	4	5
compound index	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
compound 1	0.097805677	0.538447138	0.318125375	0.676182979	0.48942052	0.957542939	0.145984383	0.184159237	0.828117503	0.833519689
compound 2	0.615499342	0.089841547	0.038724264	0.534792452	0.438710844	0.778362923	0.156091532	0.978766997	0.129538185	0.991182171
compound 3	0.513208435	0.313639044	0.059895506	0.960465404	0.899436972	0.245908923	0.987799477	0.39050881	0.086605663	0.613511727
compound 4	0.012899014	0.760815864	0.664708803	0.070299309	0.328618485	0.123054543	0.879403558	0.346977789	0.168405086	0.9499597
compound 5	0.466129253	0.38687103	0.503839375	0.034627434	0.535075101	0.028976598	0.047951308	0.155874055	0.845292414	0.737133759
compound 6	0.866886382	0.650039338	0.140481407	0.918658656	0.215060653	0.895739753	0.998282584	0.028190187	0.640989171	0.176375069
compound 7	0.019441188	0.611591168	0.583962836	0.6971607	0.699554349	0.343826551	0.162225677	0.134021629	0.901175374	0.664666079
compound 8	0.886339071	0.541577155	0.092063953	0.185114121	0.598923538	0.617986298	0.222905525	0.463943722	0.212383449	0.842850959
compound 9	0.208158986	0.61670901	0.312565883	0.284401504	0.389899947	0.694674109	0.157856095	0.256220111	0.329553898	0.738521867
compound 10	0.565425216	0.868686826	0.193814982	0.222605532	0.424446167	0.16779763	0.077759374	0.4979837	0.487251996	0.42843063
compound 11	0.806214286	0.799508184	0.240904074	0.649584291	0.696367456	0.943809296	0.089785095	0.226533164	0.690396274	0.222295796
compound 12	0.472684353	0.942742057	0.910704355	0.885815523	0.957325349	0.4234751	0.605692248	0.535407622	0.202114125	0.107945828
compound 13	0.366911033	0.131045567	0.553017056	0.315807665	0.695333523	0.695401324	0.129686881	0.245331421	0.251862888	0.078495197
compound 14	0.988687931	0.542602201	0.128742709	0.070289032	0.724865174	0.246857685	0.801146586	0.679023946	0.684205657	0.023648968
compound 15	0.166647252	0.560498276	0.851353835	0.043426215	0.029874163	0.335192029	0.848008495	0.582473903	0.775148762	0.581885032
compound 16	0.377071245	0.11004857	0.233131506	0.63061461	0.241087236	0.62816193	0.196125104	0.848855807	0.098208508	0.056687167
compound 17	0.36550593	0.257585971	0.576414004	0.123595349	0.635542119	0.603640007	0.627848408	0.341147353	0.252211544	0.819957945
compound 18	0.067426522	0.117762625	0.296649393	0.170655934	0.520315686	0.3191927	0.201139916	0.935870163	0.121227524	0.074014849
compound 19	0.273188251	0.586567697	0.707396056	0.185464898	0.781750031	0.931275256	0.229916098	0.028889881	0.202566034	0.855424807
compound 20	0.32430439	0.744937615	0.121022909	0.96042206	0.708050413	0.84002851	0.585555151	0.084265137	0.039161898	0.67420698
