treatment	RT	RT	RT	RT	C	C	C	C	RT	RT	RT	RT	C	C	C	C	RT	RT	RT	RT	C	C	C	C	RT	RT	RT	RT	C	C	C	C
time	0h	0h	0h	0h	0h	0h	0h	0h	4h	4h	4h	4h	4h	4h	4h	4h	12h	12h	12h	12h	12h	12h	12h	12h	24h	24h	24h	24h	24h	24h	24h	24h
Sample ID	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8
label	RT 0HR 1_001	RT 0HR 2_002	RT 0HR 3_003	RT 0HR 4_004	30 C 0HR 1_005	30 C 0HR 2_006	30 C 0HR 3_007	30 C OHR 4_008	RT 4HR 1_010	RT 4HR 2_011	RT 4HR 3_012	RT 4HR 4_013	30 C 4 HR 4_017	30 C 4HR 1_014	30 C 4HR 2_015	30 C 4HR 3_016	RT 12 HR 1_018	RT 12 HR 2_019	RT 12 HR 3_020	RT 12 HR 4_021	30 C 12 HR 1_023	30 C 12 HR 2_024	30 C 12 HR 3_025	30 C 12 HR 4_026	RT 24 HR 3_029	RT 24 HR 4_030	RT 24HR 1_027	RT 24HR 2_028	30 C 24HR 1_031	30 C 24HR 2_032	30 C 24HR 3_033	30 C 24HR 4_034
zymosterol	0.367103179	0.336277614	0.076886504	0.957644505	0.821249522	0.30624856	0.149395298	0.356126099	0.40736067	0.733306441	0.392068508	0.987931302	0.123308947	0.643637153	0.239563151	0.796527541	0.482698393	0.374360945	0.672400584	0.579225368	0.569077894	0.060736921	0.763844028	0.229553001	0.100130125	0.545744367	0.567393435	0.844447157	0.983746162	0.42274635	0.305593056	0.837094866
xylulose NIST	0.359956333	0.001592811	0.295221741	0.951634255	0.082919233	0.830507632	0.197046891	0.807146399	0.729634966	0.412564188	0.669987917	0.599378634	0.948325975	0.092346296	0.311654886	0.323865241	0.898072466	0.421480533	0.236692293	0.783190513	0.588620739	0.713437799	0.124776574	0.05597068	0.280026248	0.189678895	0.921430181	0.409771793	0.628281653	0.830548852	0.000944606	0.442781131
xylose	0.425533937	0.549146542	0.64047874	0.825410109	0.224377406	0.694134241	0.895765459	0.7109119	0.158215082	0.344701775	0.873368182	0.788444578	0.620375443	0.802712398	0.429587442	0.219217943	0.220586954	0.920551611	0.831913648	0.637952618	0.64586499	0.063582838	0.549414778	0.672346699	0.780955527	0.290522894	0.517760236	0.30165364	0.337233346	0.804828096	0.864720194	0.711297678
xylonic acid isomer	0.845185094	0.976931788	0.586243492	0.013318037	0.927805026	0.562316215	0.406871223	0.335434931	0.068532194	0.864477387	0.393962408	0.874923668	0.491185033	0.361924965	0.040517662	0.509222655	0.760394453	0.358169323	0.630148247	0.242022099	0.495686634	0.036439416	0.232246865	0.108841618	0.584282999	0.655369164	0.066250914	0.353576169	0.270669774	0.260561353	0.901427506	0.010488215
xylitol	0.03115513	0.162172284	0.962876612	0.583810864	0.684631238	0.151727921	0.851730455	0.891307036	0.26232375	0.85663761	0.46445297	0.146205712	0.925998728	0.232816347	0.670018118	0.088267989	0.572486966	0.180556644	0.113989558	0.66494158	0.489022574	0.622259784	0.967750844	0.375481283	0.414516794	0.019212679	0.450362623	0.090550409	0.031708227	0.736809264	0.405042702	0.27923455
valine	0.277152418	0.636734951	0.99235099	0.778168085	0.415813388	0.258259472	0.112252703	0.308051938	0.929856018	0.34995276	0.907693695	0.731452856	0.521206345	0.300161758	0.052723078	0.830387559	0.142490913	0.322685869	0.976862707	0.098480617	0.723829333	0.436538546	0.552822045	0.026790567	0.484485946	0.494587408	0.431300227	0.937360229	0.86581691	0.926061329	0.073970373	0.238741221
uric acid	0.567257672	0.916926792	0.62530569	0.196046948	0.161394757	0.859065419	0.719599141	0.169193059	0.03155311	0.564802504	0.06809734	0.126014191	0.55180727	0.250859194	0.986352054	0.567443105	0.871100817	0.880333442	0.782185057	0.848994792	0.620484234	0.16102128	0.86790249	0.106892829	0.360342449	0.849645763	0.924079026	0.77285424	0.700829806	0.969408575	0.035622748	0.75840142
