compound label	C vs RT @24h (FDR)	C*24h vs RT*24h
zymosterol	0.326727799	3.042301184
xylulose NIST	0.262310412	1.962861073
xylose	0.979778985	1.005582179
xylonic acid isomer	0.831780989	1.16434336
xylitol	0.304295287	1.184440438
valine	0.539567511	0.740538525
uric acid	0.96391661	1.03249652
urea	0.593127981	1.400801997
uracil	0.453969173	1.31919486
UDP-glucuronic acid	0.63431579	0.75640493
tyrosine	0.304295287	0.633044231
tryptophan	0.652792873	0.797416794
trans-4-hydroxyproline	0.261974677	0.758451166
tocopherol alpha-	0.261489564	1.804761905
thymine	0.983147614	0.993788212
thymidine	0.382798605	0.739969372
threonine	0.326727799	0.759608624
threonic acid	0.539567511	1.182430529
taurine	0.809899652	1.126702755
sulfuric acid	0.088875854	1.399220822
sucrose	0.469584934	5.151394422
succinic acid	0.907549392	1.167334818
stearic acid	0.831780989	1.075456972
sorbitol	0.304295287	0.687233365
serine	0.831780989	0.808120808
salicylic acid	0.958774641	0.940828402
saccharic acid	0.909223364	0.944992783
ribose	0.469584934	1.389235661
ribonic acid	0.831780989	1.157437408
quinic acid	0.556526876	3.33495935
pyruvic acid	0.326727799	2.971022417
pyrophosphate	0.863258168	1.091596973
putrescine	0.926121009	1.076014537
p-tolyl glucuronide	0.382798605	2.726890756
pseudo uridine	0.382798605	1.539059943
propane-1,3-diol NIST	0.909223364	0.981393975
proline	0.304295287	0.586519585
pipecolinic acid	0.453969173	1.50430622
pinitol	0.561856259	0.459071027
phosphoethanolamine	0.561856259	0.55648688
phosphate	0.644627406	15.99881859
phenylethylamine	0.453969173	0.373579959
phenylalanine	0.261489564	0.633233634
phenol	0.200991383	0.560267677
phenaceturic acid	0.731111161	1.181043498
pentadecanoic acid	0.500203539	0.690435267
pelargonic acid	0.542257617	0.790300064
pantothenic acid	0.197779465	2.512687053
palmitoleic acid	0.404356066	0.741083583
palmitic acid	0.576747982	1.100696737
oxoproline	0.261974677	0.734827768
oxalic acid	0.436598516	1.41563147
orotic acid	0.495278235	1.409581469
ornithine	0.897071696	0.925221239
oleic acid	0.382798605	1.190134403
oleamide NIST	0.644627406	0.738552437
N-methylalanine	0.57815673	0.797193322
nicotinamide	0.927136331	1.039193729
N-acetylmannosamine	0.304295287	0.57532786
N-acetylglycine NIST	0.453969173	1.354261253
n-acetylglutamate	0.863853318	0.87972028
N-acetyl-D-tryptophan	0.453969173	0.494721689
n-acetyl-d-hexosamine	0.57815673	0.857223159
myristic acid	0.488689108	0.887552854
myo-inositol	0.262310412	0.64170921
methionine sulfoxide	0.849186858	0.954199484
methionine	0.31259324	0.583117587
methanolphosphate	0.499068331	1.687989363
mannose	0.946822935	0.974626357
mannonic acid NIST	0.453969173	1.823529412
mannitol	0.781110979	0.785413017
malonic acid	0.294378905	0.662049861
malic acid	0.453969173	1.52848473
lyxose	0.957961558	0.89994431
lyxitol	0.304295287	1.667461234
lysine	0.376996572	0.845826916
linolenic acid	0.547072543	1.562253134
linoleic acid	0.507583828	1.260970849
leucine	0.376996572	0.565684911
lauric acid	0.197779465	0.515613701
lactulose	0.593127981	1.469775475
lactic acid	0.261835917	1.636989814
lactamide	0.18569662	1.680878553
kynurenine	0.838456561	1.152078546
itaconic acid	0.382798605	1.330758719
isothreonic acid	0.394255937	1.433223579
isothreitol	0.382798605	1.569133858
isoleucine	0.515307578	0.758758824
isohexonic acid	0.80744927	1.120930233
isocitric acid	0.556526876	0.544156344
inosine	0.925181193	1.051886792
indoxyl sulfate	0.552089491	1.694593072
indole-3-lactate	0.344048079	0.662170593
indole-3-acetate	0.883647242	1.088884586
hydroxylamine	0.933867376	1.041091267
hydroxycarbamate NIST	0.849186858	1.110916849
hydrocinnamic acid	0.495278235	0.778481013
histidine	0.304295287	0.628625655
hexuronic acid	0.453969173	0.756187819
hexose	0.873907329	0.947885953
hexitol	0.376996572	0.495869861
hexadecane	0.809899652	0.904214559
heptadecanoic acid	0.453969173	1.261136713
glycyl proline	0.304295287	3.941725812
glycolic acid	0.088629509	2.347133388
glycine	0.831780989	0.946175758
glycerol-alpha-phosphate	0.373531603	1.30526914
glycerol	0.988238999	0.996556611
glyceric acid	0.96391661	1.047747329
glutaric acid	0.31259324	2.477257298
glutamine	0.560831056	0.800088029
glutamic acid	0.382798605	0.747367392
glucose-6-phosphate	0.715117233	1.516264428
glucose-1-phosphate	0.660169312	1.255057517
glucose	0.382798605	0.697798447
gluconic acid	0.897071696	0.945686901
glucoheptulose	0.644627406	0.828948518
galacturonic acid	0.906304378	0.93225483
galactonic acid	0.988238999	0.995606005
fumaric acid	0.586941061	1.267648482
fucose	0.261974677	2.490999529
fructose	0.382798605	0.755277045
ethanolamine	0.899824075	1.049172052
docosahexaenoic acid	0.849186858	0.923627134
deoxypentitol	0.282400353	1.516641221
dehydroascorbic acid	0.593127981	1.361056577
cystine	0.00402173	0.265744953
cysteine	0.515307578	0.660082305
creatinine	0.909223364	1.08476872
conduritol-beta-expoxide	0.6154528	0.803057114
citrulline	0.831780989	0.840208227
citric acid	0.556526876	0.541206997
cis-gondoic acid	0.57815673	1.262312634
cholic acid	0.843582113	0.681322427
cholesterol	0.556526876	1.171466005
capric acid	0.382798605	0.73768997
butane-2,3-diol NIST	0.984584968	0.986392501
benzylalcohol	0.499068331	2.016635268
benzoic acid	0.644627406	0.955878639
behenic acid	0.592396727	1.192331102
aspartic acid	0.946822935	0.964561404
asparagine	0.388400894	0.876742251
arachidonic acid	0.667527412	0.865504938
arachidic acid	0.838456561	1.109181761
arabinose	0.402980061	1.404910618
aminomalonate	0.376996572	1.22892149
alpha-ketoglutarate	0.638139187	1.603920395
alpha-aminoadipic acid	0.261489564	2.090104104
allantoic acid	0.926121009	1.049980468
alanine	0.290317424	0.674704886
adipic acid	0.382798605	1.372462973
aconitic acid	0.663428814	0.742265795
acetophenone NIST	0.566470869	1.150734312
5-methoxytryptamine	0.382798605	2.917665867
5-hydroxy-3-indoleacetic acid	0.608292686	1.205511663
4-hydroxyphenylacetic acid	0.31259324	3.463853068
3-phosphoglycerate	0.382798605	0.79250218
3-hydroxyphenylacetic acid	0.598347004	1.166975881
3-hydroxybutyric acid	0.31259324	1.624795609
3-hydroxy-3-methylglutaric acid	0.304295287	2.490179334
2-monoolein	0.304295287	8.338620435
2-ketoisocaproic acid	0.408791902	1.152387061
2-hydroxyvaleric acid	0.556526876	1.220310858
2-hydroxyglutaric acid	0.366940821	2.244320617
2-hydroxybutanoic acid	0.049916652	1.918082715
2-deoxytetronic acid	0.261974677	1.467959074
2-deoxypentitol NIST	0.382798605	1.572137931
2,5-dihydroxypyrazine NIST	0.968440828	0.989138867
2,3-dihydroxybutanoic acid NIST	0.373911039	1.391019099
1-monopalmitin	0.343268142	2.543441704
1-monoolein	0.304295287	9.48832104
1-methylgalactose NIST	0.946822935	0.936639499
1-methyladenosine	0.604502854	1.267140468
1,2-cyclohexanedione	0.290317424	5.2247557
