		treatment	Control	Control	Control	Control	Control	Drug	Drug	Drug	Drug	Drug
		time	0h	0h	1h	1h	2h	0h	1h	1h	2h	2h
		injection order	1	2	3	4	5	6	7	8	9	10
compound index	KEGG	PubChem	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
compound 1	1	20	0.952915173	0.476861219	0.50490937	0.361331166	0.354305893	0.085485473	0.884942792	0.810104454	0.682905462	0.400533178
compound 2	2	19	0.386281426	0.476314498	0.30932641	0.010041778	0.761041148	0.986431156	0.180929013	0.031467988	0.45803694	0.820330781
compound 3	3	18	0.698370606	0.981551808	0.925843314	0.139242935	0.718511174	0.901659542	0.675529277	0.195262914	0.087196225	0.025146137
compound 4	4	17	0.365961085	0.632501054	0.55472794	0.058317505	0.478698482	0.262850949	0.192944974	0.124458066	0.415768276	0.3491382
compound 5	5	16	0.210969099	0.184763281	0.252186092	0.271570847	0.919325419	0.710744719	0.121469407	0.5386045	0.497193714	0.447845836
compound 6	6	15	0.834043637	0.730820998	0.541269109	0.439244465	0.235444249	0.616615476	0.877662616	0.635133431	0.487620699	0.538297204
compound 7	7	14	0.275669287	0.875531463	0.586318532	0.688259838	0.690491338	0.575587685	0.00263855	0.493420185	0.624872067	0.089337198
compound 8	8	13	0.703320167	0.841085969	0.244137171	0.870684619	0.444679822	0.497946857	0.903083036	0.657285769	0.478191423	0.780177834
compound 9	9	12	0.809351123	0.375606654	0.167451883	0.332494252	0.146164158	0.214615299	0.86040988	0.93780897	0.979553164	0.32869553
compound 10	10	11	0.985335012	0.857719603	0.489577424	0.564930912	0.218924763	0.855789827	0.414317547	0.916463053	0.67149119	0.271962646
compound 11	11	10	0.814143081	0.338851829	0.789988239	0.903323121	0.659905808	0.276926712	0.807807318	0.58683965	0.335099304	0.196675395
compound 12	12	9	0.657520166	0.629566676	0.119163452	0.357522188	0.959746776	0.375637539	0.514127662	0.933643335	0.197831929	0.925044758
compound 13	13	8	0.288156509	0.318494774	0.303221618	0.615969186	0.816925334	0.448869616	0.93252923	0.072227489	0.567804703	0.217429086
compound 14	14	7	0.218187856	0.855386085	0.72586124	0.350071795	0.720951017	0.521180354	0.442730055	0.060551844	0.48986208	0.292558752
compound 15	15	6	0.383911917	0.002497182	0.728774856	0.743936388	0.905554317	0.578711641	0.276133035	0.79571721	0.680560688	0.083317295
compound 16	16	5	0.219881514	0.09791535	0.229028103	0.735753326	0.266782674	0.504378578	0.726468158	0.897497302	0.331500158	0.121288332
compound 17	17	4	0.081902753	0.193018597	0.101804164	0.303739027	0.240848365	0.915857101	0.350233758	0.990887225	0.962816631	0.918236655
compound 18	18	3	0.835581445	0.434007716	0.748509191	0.751521642	0.79378572	0.996362312	0.889406202	0.726941792	0.145286771	0.952288198
compound 19	19	2	0.373033202	0.583595259	0.465601017	0.378344664	0.282015946	0.625259219	0.283169683	0.201492637	0.024199696	0.801054815
compound 20	20	1	0.218703932	0.892654877	0.179787618	0.696771032	0.505982463	0.458382843	0.630432517	0.480843965	0.007962113	0.690871034
