treatment	Control	Control	Control	Control	Control	Treatment	Treatment	Treatment	Treatment	Treatment
label	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
compound 1	0.496229033	0.354873053	0.877855488	0.316191027	0.26079556	0.715135962	0.769872827	0.111309363	0.071323918	0.771570408
compound 2	0.643046112	0.179438229	0.920754111	0.600162594	0.292452879	0.723094348	0.708510195	0.047770349	0.620894884	0.887066589
compound 3	0.29276076	0.186767725	0.623752696	0.132553027	0.798416195	0.599787794	0.616659635	0.903839419	0.14847649	0.342435296
compound 4	0.367353054	0.69847389	0.298052471	0.204548616	0.725678085	0.720610959	0.552475737	0.836545664	0.336114014	0.053155747
compound 5	0.622053444	0.717218388	0.203622273	0.042316753	0.625149652	0.570663036	0.566291134	0.621438617	0.390541344	0.452202455
compound 6	0.92688059	0.589877589	0.083403001	0.821034146	0.70738791	0.435429635	0.614079432	0.185074406	0.890858253	0.299818733
compound 7	0.632314399	0.792246351	0.009311679	0.048022691	0.459965467	0.072967307	0.868633578	0.909746585	0.355222529	0.61341794
compound 8	0.51972814	0.843310339	0.330014963	0.181123543	0.962618509	0.276137976	0.096740241	0.17113706	0.601456104	0.5138029
compound 9	0.792341772	0.322341341	0.951430171	0.443974433	0.643568843	0.521642877	0.748888943	0.001462466	0.063496431	0.88459734
compound 10	0.181839889	0.313309991	0.145366576	0.397177612	0.217758144	0.235118066	0.241285766	0.675677531	0.960201123	0.477287545
compound 11	0.60566619	0.645519784	0.184718132	0.47678731	0.677172417	0.275774666	0.706421489	0.472473375	0.541934636	0.086390885
compound 12	0.15291499	0.536229352	0.640943254	0.583575247	0.231334099	0.077520578	0.284293861	0.490621323	0.36137844	0.818613049
compound 13	0.62121697	0.779280565	0.288752466	0.632453777	0.355770235	0.355347295	0.648826112	0.583230981	0.986753954	0.945510567
compound 14	0.736348206	0.36706356	0.433086093	0.980418519	0.802011245	0.941099949	0.251956151	0.777604691	0.488381616	0.347010013
compound 15	0.518647047	0.81446642	0.659685425	0.177386089	0.677190668	0.816467153	0.689530445	0.246563581	0.59080707	0.296693786
compound 16	0.987200152	0.589355491	0.499575129	0.926219413	0.963018032	0.163442864	0.901784901	0.095749377	0.768120839	0.231600533
compound 17	0.80203033	0.307387764	0.322376124	0.257862886	0.662726407	0.22632881	0.900680095	0.356410452	0.435827015	0.617803981
compound 18	0.51969769	0.164130411	0.593511192	0.203742125	0.992713675	0.603916706	0.57544471	0.984368495	0.57258632	0.803857205
compound 19	0.131815407	0.303248233	0.419461979	0.076656528	0.962049528	0.469682387	0.136412413	0.70095365	0.428449137	0.553679134
compound 20	0.340830182	0.023838144	0.451097497	0.717831428	0.452591341	0.468430976	0.410508224	0.507626802	0.448876893	0.385902342
